"시도별(1)","연령별(1)","성별(1)",중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)
"대전광역시","70 - 74세","남자",16308,17623,18677,19271,19848,19799,20167
"대전광역시","70 - 74세","여자",20844,22172,23275,23561,24053,23503,23539
"대전광역시","75 - 79세","남자",9962,10852,11681,12493,13132,13755,15161
"대전광역시","75 - 79세","여자",16061,16865,17601,18435,18912,19477,20811
"대전광역시","80세이상","남자",7117,7579,8246,9027,9763,10904,11844
"대전광역시","80세이상","여자",16615,17725,18997,20410,21845,24117,25429
"대전광역시","80 - 84세","남자",4589,4892,5357,5875,6487,7322,7949
"대전광역시","80 - 84세","여자",9758,10410,11133,11770,12587,13866,14401
"대전광역시","85 - 89세","남자",1904,1995,2116,2328,2417,2648,2878
"대전광역시","85 - 89세","여자",4908,5164,5394,5976,6454,7116,7647
"대전광역시","90 - 94세","남자",534,587,655,695,703,767,836
"대전광역시","90 - 94세","여자",1537,1692,1983,2158,2261,2513,2695
"대전광역시","95 - 99세","남자",84,97,108,118,141,152,159
"대전광역시","95 - 99세","여자",350,392,423,439,466,523,595
"대전광역시","100세 이상","남자",6,8,10,11,15,15,22
"대전광역시","100세 이상","여자",62,67,64,67,77,99,91
"울산광역시","계","남자",578008,584553,591049,598273,605412,605913,600998
"울산광역시","계","여자",534071,540106,546423,552898,558307,560289,557789
"울산광역시","0 - 4세","남자",29760,30148,30255,30408,30806,30171,28791
"울산광역시","0 - 4세","여자",27365,27843,28236,28640,29025,28533,27331
"울산광역시","5 - 9세","남자",29451,28774,28832,28800,29059,29910,30036
"울산광역시","5 - 9세","여자",26388,25978,26306,26371,26735,27574,27744
"울산광역시","10 - 14세","남자",42070,39545,36745,34455,31798,29384,28531
"울산광역시","10 - 14세","여자",36967,35044,32512,30656,28257,26403,25641
"울산광역시","15 - 19세","남자",47663,47205,46078,44308,42613,40613,37555
