"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"행정구역별(1)",행정구역별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"대전광역시",서구,502167,822,7214,1.44,2,1776,0.04,21,1621,400,1456,1,413,11,1640,199,11,3,286,183,11,-,-,2,-,-,1,2,1
"대전광역시",유성구,318805,349,3643,1.14,1,229,0.03,2,659,158,487,2,545,9,1640,86,25,-,-,87,29,-,-,4,29,-,1,1,4
"대전광역시",대덕구,206391,212,2760,1.34,2,667,0.10,4,642,107,482,-,-,4,957,47,11,-,-,47,1,-,-,1,-,-,1,2,1
"울산광역시",소계,1178907,1261,13571,1.15,4,2250,0.03,40,4344,531,1327,2,413,41,5019,351,13,3,197,282,8,-,-,7,-,-,5,8,11
"울산광역시",중구,236903,228,2435,1.03,1,607,0.04,11,749,96,123,-,-,6,956,62,-,-,-,52,-,-,-,-,-,-,1,-,-
"울산광역시",남구,354080,561,5362,1.51,1,327,0.03,17,1784,238,481,2,413,20,2147,157,13,3,197,122,-,-,-,1,-,-,1,1,-
"울산광역시",동구,184297,176,1886,1.02,1,876,0.05,2,161,78,415,-,-,3,434,49,-,-,-,40,-,-,-,3,-,-,1,-,-
"울산광역시",북구,187968,146,945,0.50,-,-,0.00,4,448,59,145,-,-,3,352,47,-,-,-,32,-,-,-,1,-,-,1,-,2
"울산광역시",울주군,215659,150,2943,1.36,1,440,0.05,6,1202,60,163,-,-,9,1130,36,-,-,-,36,8,-,-,2,-,-,1,7,9
"세종특별자치시",소계,124615,114,1071,0.86,-,-,0.00,1,91,55,148,1,120,5,712,24,-,-,-,26,-,-,-,2,-,-,1,10,7
"경기도",소계,12549345,12661,116490,0.93,55,22495,0.04,261,28640,5893,18062,35,9577,243,35392,3523,14,34,1744,2575,359,8,17,34,190,1,45,122,161
"경기도",수원시,1178509,1332,9851,0.84,4,2447,0.03,31,2933,627,1703,3,598,14,1998,365,-,2,137,280,-,-,-,6,35,-,4,-,-
"경기도",성남시,995349,1412,8466,0.85,5,2998,0.05,20,3089,667,1296,-,-,7,934,420,3,2,133,287,13,-,-,4,-,-,3,-,-
"경기도",의정부시,434488,466,4983,1.15,3,1139,0.07,16,2370,224,543,3,640,2,242,129,-,1,49,84,-,1,-,3,-,-,1,-,-
"경기도",안양시,614687,756,4429,0.72,4,1708,0.07,11,829,340,758,-,-,8,1034,222,-,2,100,169,-,-,-,-,-,-,2,-,-
"경기도",부천시,880907,1024,11152,1.27,5,2310,0.06,22,2345,498,1500,4,571,26,4095,267,-,5,304,196,20,1,7,-,-,-,3,-,-
"경기도",광명시,357707,387,2030,0.57,1,424,0.03,3,203,192,739,-,-,4,642,111,-,-,-,74,20,1,2,1,-,-,1,-,-
"경기도",평택시,456630,440,3578,0.78,3,792,0.07,15,1599,209,844,-,-,3,321,112,-,-,-,94,14,1,1,3,7,-,2,9,11
"경기도",동두천시,100230,81,2207,2.20,-,-,0.00,2,289,37,166,1,270,8,1482,20,-,-,-,13,-,-,-,-,-,-,1,-,-
"경기도",안산시,762915,697,8887,1.16,4,1776,0.05,21,1662,327,1356,1,179,25,3414,183,-,8,377,126,122,2,1,-,-,-,2,3,1
"경기도",고양시,1001942,1058,11552,1.15,5,3143,0.05,22,2689,491,1341,1,299,23,3933,284,-,3,133,229,14,-,-,-,-,-,3,-,-
"경기도",과천시,70875,60,13,0.02,-,-,0.00,-,-,28,13,-,-,-,-,17,-,-,-,13,-,-,-,2,-,-,1,-,-
"경기도",구리시,191029,253,2266,1.19,1,594,0.05,9,909,118,386,1,137,2,240,72,-,-,-,50,-,-,-,-,-,-,1,1,-
"경기도",남양주시,623743,542,5360,0.86,3,932,0.05,12,1158,243,903,2,522,11,1842,152,-,-,-,118,-,1,3,-,-,-,1,7,3
"경기도",오산시,211344,188,1929,0.91,1,382,0.05,3,163,85,322,1,486,3,576,59,-,-,-,36,-,-,-,-,-,-,1,-,-
"경기도",시흥시,422817,346,3951,0.93,3,646,0.07,6,573,168,1028,-,-,11,1421,94,-,6,229,57,51,1,3,-,-,-,1,1,4
"경기도",군포시,292000,273,2391,0.82,2,539,0.07,3,363,129,322,2,498,5,593,80,5,1,71,51,-,-,-,-,-,-,1,-,-
"경기도",의왕시,161023,144,2008,1.25,-,-,0.00,1,200,65,149,2,1089,3,516,42,-,-,-,29,-,-,-,2,54,-,1,-,-
"경기도",하남시,146777,146,655,0.45,-,-,0.00,4,224,69,249,-,-,2,182,41,-,-,-,30,-,-,-,-,-,-,1,-,-
"경기도",용인시,955907,885,7926,0.83,3,678,0.03,8,807,404,721,5,2134,19,3575,264,-,-,-,181,-,-,-,1,11,-,3,8,10
"경기도",파주시,410158,335,3118,0.76,1,172,0.02,10,774,150,634,1,299,11,1207,89,-,1,31,69,-,-,-,3,1,-,1,6,7
"경기도",이천시,210579,182,1845,0.88,-,-,0.00,4,359,90,404,2,598,3,484,48,-,-,-,34,-,-,-,1,-,-,1,7,15
"경기도",안성시,190205,164,2343,1.23,1,151,0.05,3,267,73,193,1,299,11,1433,43,-,-,-,30,-,-,-,2,-,-,1,10,16
"경기도",김포시,325543,278,2647,0.81,2,679,0.06,6,750,117,357,1,130,5,581,83,-,2,150,62,-,-,-,-,-,-,1,6,7
"경기도",화성시,558128,471,4497,0.81,2,721,0.04,10,1223,212,771,2,479,9,1198,139,6,-,-,93,62,-,-,4,37,-,2,14,13
"경기도",광주시,296383,205,1304,0.44,-,-,0.00,3,445,95,425,1,88,3,346,52,-,-,-,51,-,-,-,-,-,-,1,4,12
"경기도",양주시,206329,133,1567,0.76,-,-,0.00,4,473,63,187,1,261,5,617,33,-,-,-,27,29,-,-,-,-,-,1,2,3
"경기도",포천시,167916,114,1421,0.85,2,264,0.12,2,262,51,287,-,-,6,598,31,-,-,-,22,10,-,-,-,-,-,1,13,9
"경기도",여주시,111945,106,1793,1.60,-,-,0.00,4,656,48,169,-,-,4,923,26,-,-,-,22,-,-,-,2,45,-,1,9,13
"경기도",연천군,46370,33,299,0.64,-,-,0.00,-,-,16,115,-,-,1,184,9,-,-,-,7,-,-,-,-,-,1,-,7,7
"경기도",가평군,62037,59,1125,1.81,-,-,0.00,4,817,22,52,-,-,2,222,15,-,1,30,15,4,-,-,-,-,-,1,5,15
"경기도",양평군,104873,91,897,0.86,-,-,0.00,2,209,35,129,-,-,7,559,21,-,-,-,26,-,-,-,-,-,-,1,10,15
"강원도",소계,1555672,1477,17158,1.10,15,5288,0.10,39,4713,709,2536,8,1826,25,2600,344,15,2,124,328,29,1,-,6,27,2,18,99,129
