"","지점번호","지점명(한글)","예보구역코드","법정동코드"
"457",719,"선유도","21F10500",4513039028
"458",720,"보길도","11F20300",4689038023
"459",721,"금일","11F20300",4689025322
"460",722,"조선대","11F20500",2911011800
"461",723,"거문도","11F20400",4613036021
"462",724,"추자도","11G00200",4971032021
"463",725,"우도","11G00100",4971033022
"464",726,"마라도","11G00500",4972025026
"465",727,"유수암","11G00200",4971025342
"466",730,"장성","11F20502",4688036022
"467",731,"영암","21F20802",4683025024
"468",732,"보성","11F20404",4678025023
"469",733,"함라","11F10200",4514033025
"470",734,"완주","11F10204",4571031028
"471",735,"덕유산","11F10300",4573032030
"472",736,"진봉","21F10500",4521041021
"473",737,"김제","21F10502",4521010700
"474",738,"줄포","21F10600",4580041022
"475",739,"심원","21F10600",4579039026
"476",741,"화순","11F20505",4679025031
"477",742,"운남","21F20800",4684037025
"478",743,"비금","21F20800",4691034026
"479",744,"산이","21F20200",4682041029
"480",745,"성전","11F20303",4681036023
"481",746,"땅끝","11F20300",4682034026
"482",747,"청산도","11F20300",4689035021
"483",748,"벌교","11F20400",4678025300
"484",749,"도양","11F20400",4677025324
"485",750,"백야","11F20400",4613033030
"486",751,"선흘","11G00200",4971025930
"487",752,"서광","11G00400",4972031027
"488",753,"어리목","11G00300",4911013900
"489",754,"함평","21F20101",4686025022
"490",755,"화순북","11F20500",4679039022
"491",756,"위도","21F10600",4580042021
"492",757,"주천","11F10300",4572040024
"493",758,"동향","11F10300",4572033021
"494",759,"뱀사골","11F10401",4519046027
"495",760,"복흥","11F10400",4577037031
"496",761,"태인","11F10200",4518039030
"497",762,"강진면","11F10400",4575039025
"498",763,"여산","11F10200",4514039000
"499",764,"신덕","11F10400",4575036022
"500",765,"복내","11F20400",4678035021
"501",766,"여수산단","11F20400",4613014600
"502",767,"포두","11F20400",4677035031
"503",768,"곡성","11F20602",4672025022
"504",769,"염산","21F20100",4687036029
"505",770,"다도","11F20500",4617042026
"506",771,"안좌","21F20800",4691040028
"507",772,"수유","21F20200",4690025028
"508",773,"학산","21F20800",4683038022
"509",774,"전남도청","21F20800",4684031000
"510",775,"월야","21F20100",4686038025
"511",776,"현산","11F20300",4682033023
"512",777,"관산","11F20300",4680025326
"513",778,"유치","11F20300",4680035030
"514",779,"한림","11G00500",4971025024
"515",780,"남원","11G00400",4972025321
"516",781,"구좌","11G00100",4971025631
"517",782,"성판악","11G00302",4971025929
"518",783,"과기원","11F20500",2917014100
"519",784,"시종","21F20800",4683034027
"520",785,"북일","11F20300",4682036023
"521",786,"돌산","11F20400",4613025022
"522",787,"도화","11F20400",4677034022
"523",788,"풍암","11F20500",2914012800
"524",789,"압해도","21F20800",4691043025
"525",790,"나로도","11F20400",4677045023
"526",791,"피아골","11F20600",4673033027
"527",792,"표선면","11G00100",4972032000
"528",793,"모슬포","11G00500",4972025022
"529",794,"황전","11F20600",4615033024
"530",795,"옥과","11F20600",4672037023
"531",796,"초도","11F20400",4613036025
"532",797,"하태도","11F20700",4691036030
"533",798,"홍도","11F20700",4691036029
"534",799,"낙월도","21F20100",4687038021
"535",800,"후포","11H10100",4793038023
"536",801,"영양","11H10403",4776025023
"537",802,"온정","11H10100",4793036029
"538",803,"옥산","11H10502",4773033031
"539",804,"청하","11H10200",4711332021
"540",805,"죽장","11H10200",4711335024
"541",806,"선산","11H10600",4719025024
"542",807,"의흥","11H10600",4772035034
"543",808,"호미곶","11H10200",4711134022
"544",809,"대덕","11H10600",4715044028
"545",810,"성주","11H10605",4784025025
"546",811,"황성","11H10202",4713012400
"547",812,"고령","11H10604",4783025033
"548",813,"청도","11H10704",4782025028
"549",814,"부석","11H10400",4721039024
"550",815,"예천","11H10303",4790025024
"551",816,"구룡포","11H10200",4711125028
"552",817,"수비","11H10800",4776034030
"553",818,"마성","11H10300",4728036027
"554",819,"예안","11H10500",4717041034
"555",820,"하회","11H10500",4717034033
"556",821,"공성","11H10300",4725035023
"557",822,"김천","11H10601",4715041021
"558",823,"군위","11H10603",4772025027
"559",824,"가산","11H10700",4785033044
"560",825,"칠곡","11H10705",4785036029
"561",826,"신령","11H10700",4723032027
"562",827,"경산","11H10703",4729011700
"563",828,"달성","11H10700",2771036026
"564",829,"외동","11H10200",4713025921
"565",830,"기계","11H10200",4711334021
"566",831,"석포","11H10800",4792039022
"567",832,"안계","11H10500",4773043030
"568",833,"은척","11H10300",4725044024
"569",834,"화서","11H10300",4725041023
"570",835,"봉화읍","11H10400",4792025024
"571",836,"현서","11H10500",4775034045
"572",837,"이산","11H10400",4721031021
"573",838,"동로","11H10300",4728035028
"574",839,"길안","11H10500",4717039021
"575",840,"하양","11H10700",4729025021
"576",841,"화북","11H10700",4723034032
"577",842,"산내","11H10200",4713034023
"578",843,"금강송","11H10800",4793032021
"579",844,"영덕읍","11H10100",4777025021
"580",845,"대구북구","11H10700",2723011500
"581",846,"서구","11H10700",2717010500
"582",847,"소보","11H10600",4772031039
"583",848,"금천","11H10700",4782036000
"584",849,"지보","11H10300",4790040021
"585",850,"감포","11H10200",4713025024
"586",851,"소곡","11H10100",4793031030
"587",852,"죽변","11H10100",4793037021
"588",853,"팔공산","11H10700",4785032035
"589",854,"삼동","11H20100",3171040027
"590",855,"가파도","11G00500",4972025026
"591",856,"백운산","11F20400",4623032024
"592",857,"완도읍","11F20300",4689025027
"593",858,"지산","21F20200",4690035021
"594",859,"토함산","11H10200",4713031034
"595",860,"신암","11H10701",2714010100
"596",861,"월정","11G00100",5011025626
"597",862,"만장굴","11G00100",5011025634
"598",863,"외도","11G00200",4911012300
"599",864,"완산","11F10201",4511112100
"600",865,"오등","11G00200",4911013400
"601",866,"용강","11G00200",4911013200
"602",867,"삼각봉","11G00300",4911012000
"603",868,"사제비","11G00300",4971025321
"604",869,"영실","11G00300",4913011800
"605",870,"진달래밭","11G00300",4972025328
"606",871,"윗세오름","11G00300",4971025321
"607",872,"지리산","11H20700",4886036021
"608",873,"백운산","11D10400",4213038022
"609",874,"동송","11D10100",4278025021
"610",875,"설악산","11D20101",4283031033
"611",876,"삼척","11D20602",4223010600
"612",877,"문막","11D10400",4213025024
"613",878,"도계","11D20300",4223025032
"614",879,"스키점프","11D20201",4276037027
"615",880,"금악","11G00500",5011025025
"616",881,"새만금","21F10500",4513039031
"617",882,"상무대","11F20500",4688034024
"618",883,"안덕","11G00400",4972031028
"619",884,"기상(과)","11G00401",4913010300
"620",885,"태풍센터","11G00400",4972025323
"621",886,"군산산단","21F10500",4513015200
"622",887,"세종연기","11C20400",3611031025
"623",888,"청남대","11C10301",4311135032
"624",889,"현충원","11B10101",1159010700
"625",890,"신례","11G00400",5013025329
"626",891,"색달","11G00400",4913011900
"627",900,"두서","11H20100",3171037022
