지점번호,지점명(한글),지점주소,관리관서,area
310,궁촌,강원도 삼척시근덕면 궁촌리369-2 삼척해양레일바이크 ,동해기상대(106),강원
310,궁촌,강원도 삼척시근덕면 궁촌리369-2 삼척해양레일바이크 ,동해기상대(106),강원
311,가야산,경상남도 합천군가야면 치인1길13-45 해인사관광호텔 ,울산기상대(152),경남
311,가야산,경상남도 합천군가야면 치인1길13-45 해인사관광호텔 ,거창기상대(284),경남
312,주왕산,경상북도 청송군부동면 공원길169-7(상의리 406) 주왕산국립공원사무소,대구(구 143),경북
312,주왕산,경상북도 청송군부동면 공원길169-7(상의리 406) 주왕산국립공원사무소,안동기상대(136),경북
313,양지암,경상남도 거제시능포동 116-27 양지암조각공원,부산지방기상청(159),경남
313,양지암,경상남도 거제시능포동 116-27 양지암조각공원,통영기상대(162),경남
314,덕유봉,전라북도 무주군설천면 만선로185 무주리조트 설천봉정상,전주기상대(146),전북
314,덕유봉,전라북도 무주군설천면 만선로185 무주리조트 설천봉정상,전주기상대(146),전북
314,덕유봉,전라북도 무주군설천면 만선로185 무주리조트 설천봉정상,추풍령지역기상서비스센터(135),전북
315,성삼재,전라남도 구례군산동면 노고단로1068 성삼재휴게소 ,광주지방기상청(156),전남
315,성삼재,전라남도 구례군산동면 노고단로1068 성삼재휴게소 ,남원기상대(247),전남
315,성삼재,전라남도 구례군산동면 노고단로1068 성삼재휴게소 ,전주기상대(146),전남
316,무등산,광주광역시 동구용연동 산354-4 KBS광주방송총국 무등산송신소,광주지방기상청(156),광주
316,무등산,광주광역시 동구용연동 산354-4 KBS광주방송총국 무등산송신소,광주지방기상청(156),광주
317,모악산,전라북도 완주군구이면 원기리 716-6,전주기상대(146),전북
317,모악산,전라북도 완주군구이면 원기리 716-6,전주기상대(146),전북
318,용평,강원도 평창군대관령면 용산리 506,강릉(구 105),강원
318,용평,강원도 평창군대관령면 용산리 506,대관령기상대(100),강원
319,천부,경상북도 울릉군 북면 천부길 95-3천부초등학교34759 천부초등학교 ,울릉도기상대(115),경북
320,향로봉,강원도 고성군수동면 상원리 유곡대대,강릉(구 105),강원
320,향로봉,강원도 고성군수동면 상원리 유곡대대,속초기상대(90),강원
321,원통,강원도 인제군북면 원통리 육군 제1862부대 12사단 사령부,강릉(구 105),강원
322,상서,강원도 화천군상서면 산양리 180 7사단 5여단,춘천기상대(101),강원
322,상서,강원도 화천군상서면 산양리 180 7사단 5여단,철원기상대(95),강원
