"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"행정구역별(1)",행정구역별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
"충청북도",청주시,841982,914,8331,0.99,6,2870,0.07,21,2055,433,1341,1,300,12,1569,218,0,2,108,213,30,1,0,7,58,0,4,15,25
"충청북도",충주시,212200,209,2694,1.27,2,774,0.09,3,393,111,635,0,0,5,791,43,0,1,72,43,0,0,0,1,29,0,1,13,16
"충청북도",제천시,138291,151,2476,1.79,2,470,0.14,1,117,79,535,1,460,5,824,27,-,1,70,34,0,0,0,1,0,0,1,8,11
"충청북도",보은군,34653,31,738,2.13,0,0,0.00,2,310,15,29,0,0,2,399,5,0,0,0,7,0,0,0,0,0,0,1,7,15
"충청북도",옥천군,53237,56,1111,2.09,1,180,0.19,0,0,27,114,1,120,3,697,11,0,0,0,13,0,0,0,0,0,0,1,8,17
"충청북도",영동군,51358,50,669,1.30,0,0,0.00,1,151,24,99,0,0,3,419,10,0,0,0,12,0,0,0,0,0,0,1,10,17
"충청북도",증평군,35358,35,71,0.20,0,0,0.00,1,69,17,2,0,0,0,0,9,0,0,0,8,0,0,0,0,0,0,1,1,1
"충청북도",진천군,69533,58,639,0.92,0,0,0.00,1,239,26,60,1,60,2,280,14,0,0,0,13,0,0,0,1,0,0,1,6,7
"충청북도",괴산군,39003,25,312,0.80,0,0,0.00,2,187,11,23,1,102,0,0,5,0,0,0,6,0,0,0,0,0,0,1,12,17
"충청북도",음성군,102796,85,2221,2.16,0,0,0.00,4,803,39,147,1,984,3,287,20,0,0,0,18,0,0,0,0,0,0,1,8,18
"충청북도",단양군,31177,18,204,0.65,0,0,0.00,1,74,6,58,0,0,1,72,5,0,0,0,5,0,0,0,0,0,0,1,7,14
"충청남도",소계,2116798,2110,27687,1.31,12,4703,0.06,40,3423,999,4075,16,4530,66,10666,489,10,3,172,485,108,-,-,-,-,2,14,151,233
"충청남도",천안시,614880,645,7420,1.21,4,2261,0.07,14,1124,302,1152,4,841,13,1854,156,10,1,98,151,80,-,-,-,-,-,2,12,18
"충청남도",공주시,115352,130,3511,3.04,1,233,0.09,1,98,67,332,2,1570,6,1250,22,-,-,-,31,28,-,-,-,-,-,1,10,18
"충청남도",보령시,106702,112,1261,1.18,1,200,0.09,3,356,54,177,1,200,3,328,21,-,-,-,29,-,-,-,-,-,-,1,10,17
"충청남도",아산시,307336,256,3188,1.04,0,0,0.00,4,389,115,402,3,919,9,1478,72,-,-,-,53,-,-,-,-,-,-,1,11,16
"충청남도",서산시,170920,143,1128,0.66,2,487,0.12,-,-,70,336,-,-,2,262,35,-,1,43,33,-,-,-,-,-,-,1,10,15
"충청남도",논산시,128077,157,3158,2.47,1,647,0.08,3,225,76,305,1,147,11,1834,29,-,-,-,36,-,-,-,-,-,-,1,13,26
"충청남도",계룡시,40713,39,196,0.48,0,0,0.00,2,153,17,43,-,-,-,-,10,-,-,-,10,-,-,-,-,-,-,1,2,-
"충청남도",당진시,167892,162,1087,0.65,1,288,0.06,4,223,80,333,-,-,2,243,43,-,-,-,32,-,-,-,-,-,-,1,11,19
"충청남도",금산군,56506,68,787,1.39,0,0,0.00,1,118,34,126,-,-,3,543,13,-,-,-,17,-,-,-,-,-,-,1,9,8
"충청남도",부여군,72800,68,1362,1.87,0,0,0.00,2,150,31,216,2,439,3,557,13,-,-,-,17,-,-,-,-,-,-,1,15,20
"충청남도",서천군,58872,68,1308,2.22,0,0,0.00,2,241,33,165,1,180,3,722,12,-,-,-,17,-,-,-,-,-,-,1,10,17
